startdate_extracted,startdate_standard,year,month,season,mean_ci,median_ci,std_ci,min_ci,max_ci,perc_ci,mean_dn,median_dn,std_dn,min_dn,max_dn,perc_dn
2009081,2009-03-22,2009,3,2,0.00010255178997085804,0.00010255178997085804,3.57747137360611e-05,6.677707623479695e-05,0.00013832650370691914,"[8.46644331e-05 1.02551790e-04 1.20439147e-04 1.31171561e-04
 1.34749032e-04 1.37611009e-04]",14.5,14.5,13.5,1,28,[ 7.75 14.5  21.25 25.3  26.65 27.73]
2009088,2009-03-29,2009,3,2,0.0005453193026647862,0.0004532328711930874,0.0003231779880526088,0.00025038793588587333,0.001263145560429136,[0.00031918 0.00045323 0.00060605 0.00091281 0.00108798 0.00122811],73.57142857142857,72.0,18.934904600892448,50,110,[ 59.    72.    82.5   96.2  103.1  108.62]
2009095,2009-04-05,2009,4,2,0.0015503745971327725,0.0009138720605168643,0.001376075728484976,0.00015829798984973465,0.004610259803284842,[0.00033687 0.00091387 0.00189306 0.00363657 0.00413433 0.00451507],100.76923076923077,98.0,37.65052629349973,33,158,[ 61.    98.   125.   149.   153.8  157.16]
2009102,2009-04-12,2009,4,2,0.0013756898615227236,0.0005623845744677356,0.0017362972554454139,0.00044117145029042725,0.005568309930770164,[0.0004472  0.00056238 0.00108178 0.00300593 0.00428712 0.00531207],95.14285714285714,80.0,31.764439107856674,71,165,[ 71.5   80.   103.5  132.6  148.8  161.76]
2009109,2009-04-19,2009,4,2,0.0004532328711930874,0.0004532328711930874,0.0,0.0004532328711930874,0.0004532328711930874,[0.00045323 0.00045323 0.00045323 0.00045323 0.00045323 0.00045323],72.0,72.0,0.0,72,72,[72. 72. 72. 72. 72. 72.]
2009116,2009-04-26,2009,4,2,0.00042943100759441867,0.00042943100759441867,0.0,0.00042943100759441867,0.00042943100759441867,[0.00042943 0.00042943 0.00042943 0.00042943 0.00042943 0.00042943],70.0,70.0,0.0,70,70,[70. 70. 70. 70. 70. 70.]
2009123,2009-05-03,2009,5,2,0.0014325136228809333,0.0014325136228809333,0.0001348342542109598,0.0012976793686699736,0.0015673478770918932,[0.0013651  0.00143251 0.00149993 0.00154038 0.00155386 0.00156465],114.5,114.5,3.5,111,118,[112.75 114.5  116.25 117.3  117.65 117.93]
2009130,2009-05-10,2009,5,2,0.001854132194127546,0.0012463381626938862,0.00207620368954694,6.860273023526938e-05,0.010637985646376327,[0.00054378 0.00124634 0.00224081 0.00358772 0.00709822 0.00985669],103.2109375,109.5,43.41274516626533,2,189,[ 78.75 109.5  131.25 148.7  174.   186.17]
2009137,2009-05-17,2009,5,2,0.011743837583893059,0.012848647071018005,0.003133375424048311,0.0001670718955428824,0.017286672330235658,[0.01092882 0.01284865 0.01393155 0.01470373 0.01510572 0.01594298],190.0983302411874,196.0,17.495972952886063,35,207,[190. 196. 199. 201. 202. 204.]
2009144,2009-05-24,2009,5,2,0.009296423617956141,0.010079323864733893,0.004214824810355185,6.860273023526938e-05,0.017286672330235658,[0.00587694 0.01007932 0.01250672 0.01431243 0.01510572 0.01637885],177.0,187.0,28.441637975128707,2,207,[167. 187. 195. 200. 202. 205.]
2009151,2009-05-31,2009,5,2,0.010199272306049218,0.012173890749379723,0.004412050614135404,6.677707623479695e-05,0.01551870222835037,[0.00769647 0.01217389 0.01319992 0.01431243 0.01470373 0.01510572],178.13929146537842,194.0,35.57040265090593,1,203,[177. 194. 197. 200. 201. 202.]
2009158,2009-06-07,2009,6,3,0.011759761155019553,0.012848647071018005,0.003984140194077849,6.860273023526938e-05,0.021449807549949466,[0.01035489 0.01284865 0.01431243 0.0155187  0.01637885 0.01775928],188.07785467128028,196.0,24.186683707237876,2,215,[188. 196. 200. 203. 205. 208.]
2009165,2009-06-14,2009,6,3,0.012467997800231263,0.014312430803509307,0.004239931556603498,0.00013106218378977397,0.019256058648191517,[0.01063799 0.01431243 0.0155187  0.01594298 0.01637885 0.01728667],189.50502512562815,200.0,27.13028418219645,26,211,[189. 200. 203. 204. 205. 207.]
2009172,2009-06-21,2009,6,3,0.011567894714147174,0.012848647071018005,0.005955539181026359,7.047829676137728e-05,0.019782510276304014,[0.00709822 0.01284865 0.01682664 0.01775928 0.01824481 0.01874362],178.74489795918367,196.0,43.45179892310916,3,212,[174. 196. 206. 208. 209. 210.]
2009179,2009-06-28,2009,6,3,0.012306659722727181,0.011534569761210737,0.002945941516474421,0.006372258716007311,0.020323354845454233,[0.01021711 0.01153457 0.01393155 0.01637885 0.01829469 0.020226  ],193.36974789915968,192.0,8.736925931147702,170,213,[187.5  192.   199.   205.   209.1  212.82]
2009186,2009-07-05,2009,7,3,0.011706989725516401,0.014703725960862944,0.0061806687579101195,6.677707623479695e-05,0.020323354845454233,[0.00603761 0.01470373 0.01682664 0.01775928 0.01824481 0.01874362],178.88671611598113,201.0,43.072074710851325,1,213,[168. 201. 206. 208. 209. 210.]
2009193,2009-07-12,2009,7,3,0.009048169849655452,0.008573287741366752,0.006605789316692178,6.677707623479695e-05,0.034855827690357666,[0.00276159 0.00857329 0.01470373 0.01775928 0.01874362 0.02389348],163.4943820224719,181.0,48.84278273996389,1,233,[139. 181. 201. 208. 210. 219.]
2009200,2009-07-19,2009,7,3,0.007679076012577981,0.007696466794452358,0.0040632536783095675,0.00020179081761101134,0.02389347957106892,[0.00448757 0.00769647 0.01035489 0.01274607 0.01470373 0.01893322],170.34638554216866,177.0,24.848042131706634,42,219,[157.   177.   188.   195.7  201.   210.37]
2009207,2009-07-26,2009,7,3,0.005994057809017894,0.005275885965362675,0.0041849187606593065,6.677707623479695e-05,0.016378849789041684,[0.00265233 0.00527589 0.00904848 0.01184992 0.01470373 0.01637885],154.14074717636836,163.0,38.60417770162469,1,205,[137.5 163.  183.  193.  201.  205. ]
2009214,2009-08-02,2009,8,3,0.005138236041820056,0.0022256014725742872,0.005823081448865546,6.677707623479695e-05,0.022638695600632062,[0.00056238 0.0022256  0.00834514 0.01594298 0.01795349 0.01925606],127.10922673127398,131.0,59.06168161061458,1,217,[ 80.  131.  180.  204.  208.4 211. ]
2009221,2009-08-09,2009,8,3,0.00456501677572011,0.0031603079234173324,0.004376063438783168,6.677707623479695e-05,0.02389347957106892,[0.00122953 0.00316031 0.00637226 0.01122761 0.01510572 0.01728667],136.29048455937735,144.0,46.08302347010399,1,219,[109. 144. 170. 191. 202. 207.]
2009228,2009-08-16,2009,8,3,0.004394361639040939,0.001997981211887043,0.005017546963698627,6.677707623479695e-05,0.020323354845454233,[0.00040688 0.00199798 0.00709822 0.01319992 0.01510572 0.01728667],120.28368623676612,127.0,60.14308119054995,1,213,[ 68. 127. 174. 197. 202. 207.]
2009235,2009-08-23,2009,8,3,0.006325435305585648,0.004368148557683102,0.006468240030414038,6.677707623479695e-05,0.039888288289443304,[0.00169945 0.00436815 0.00857329 0.01510572 0.02032335 0.03045828],147.53890339425587,156.0,46.88609153736715,1,238,[121. 156. 181. 202. 213. 228.]
2009242,2009-08-30,2009,8,3,0.005569127820373194,0.0033354727736323755,0.0066053352184354515,6.677707623479695e-05,0.058189067831025315,[0.00119681 0.00333547 0.00729228 0.01431243 0.01925606 0.03214648],138.7581452638271,146.0,50.22436660192979,1,252,[108. 146. 175. 200. 211. 230.]
2009249,2009-09-06,2009,9,4,0.0052697855384563385,0.0026165642298072124,0.00617097091346802,6.677707623479695e-05,0.04209915704428271,[0.00096452 0.00261656 0.00709822 0.01594298 0.01728667 0.02454672],133.43401633471845,137.0,53.12077953131287,1,240,[100. 137. 174. 204. 207. 220.]
2009256,2009-09-13,2009,9,4,0.005050377002165723,0.002479153400069546,0.005703549958253162,6.677707623479695e-05,0.02809075422608103,[0.0007365  0.00247915 0.00769647 0.0155187  0.01775928 0.01925606],129.31077238084404,135.0,56.66012135173351,1,225,[ 90. 135. 177. 203. 208. 211.]
2009263,2009-09-20,2009,9,4,0.0014174907670394335,0.0009138720605168643,0.0015304923796127755,6.677707623479695e-05,0.011227612102877545,[0.00035555 0.00091387 0.00199798 0.00324671 0.00402861 0.00834514],93.40725623582766,98.0,42.67324717483481,1,191,[ 63.  98. 127. 145. 153. 180.]
2009270,2009-09-27,2009,9,4,0.006193494049915097,0.0022256014725742872,0.007008662333496505,6.677707623479695e-05,0.020323354845454233,[0.00050487 0.0022256  0.01431243 0.01775928 0.01874362 0.01925606],128.5978386723273,131.0,64.65196718896911,1,213,[ 76. 131. 200. 208. 210. 211.]
2009277,2009-10-04,2009,10,4,0.010628122760953788,0.011849919498210883,0.006905900749318171,6.677707623479695e-05,0.021449807549949466,[0.00402861 0.01184992 0.01682664 0.01874362 0.01978251 0.02048449],166.73104956268222,193.0,56.48065122710927,1,215,[153.   193.   206.   210.   212.   213.29]
2009284,2009-10-11,2009,10,4,0.010417919987069793,0.011227612102877545,0.0047755058174484425,6.860273023526938e-05,0.01874361693655935,[0.00729228 0.01122761 0.01431243 0.0162045  0.01682664 0.01775928],178.70985915492957,191.0,36.464006904215545,2,210,[175.  191.  200.  204.6 206.  208. ]
2009291,2009-10-18,2009,10,4,0.0004214799268430979,0.00045339774799336014,0.0002102657677328293,6.860273023526938e-05,0.0006611764860334898,[0.00030672 0.0004534  0.00059861 0.00066118 0.00066118 0.00066118],61.125,72.0,28.742118484899475,2,86,[54.5  72.   82.25 86.   86.   86.  ]
2009298,2009-10-25,2009,10,4,0.006692398359885147,0.007098219091147282,0.002803773555740051,8.745152757570437e-05,0.013199923066441688,[0.00513548 0.00709822 0.00880768 0.00981109 0.01092882 0.01250672],165.57330415754925,174.0,27.324406348522434,11,197,[162. 174. 182. 186. 190. 195.]
