end_date,filename,start_date
2022-10-01,L20222682022274.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-09-25
2021-04-03,L20210872021093.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-03-28
2009-08-01,M20092072009213.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-07-26
2017-09-09,L20172462017252.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-09-03
2021-08-07,L20212132021219.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-08-01
2017-03-25,L20170782017084.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-03-19
2008-06-28,M20081742008180.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-06-22
2010-08-07,M20102132010219.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-08-01
2024-07-20,L20241962024202.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-07-14
2017-08-26,L20172322017238.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-08-20
2024-04-13,L20240982024104.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-04-07
2010-07-17,M20101922010198.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-07-11
2011-06-04,M20111492011155.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-05-29
2024-01-06,L20233652024006.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-12-31
2020-10-17,L20202852020291.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-10-11
2009-11-28,M20093262009332.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-11-22
2017-11-25,L20173232017329.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-11-19
2017-07-08,L20171832017189.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-07-02
2023-11-18,L20233162023322.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-11-12
2008-10-25,M20082932008299.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-10-19
2018-10-13,L20182802018286.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-10-07
2023-12-09,L20233372023343.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-12-03
2009-06-13,M20091582009164.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-06-07
2019-03-30,L20190832019089.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-03-24
2021-09-25,L20212622021268.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-09-19
2016-09-17,L20162552016261.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-09-11
2018-04-21,L20181052018111.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-04-15
2011-04-16,M20111002011106.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-04-10
2021-10-02,L20212692021275.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-09-26
2024-02-10,L20240352024041.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-02-04
2023-04-29,L20231132023119.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-04-23
2011-03-12,M20110652011071.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-03-06
2024-03-16,L20240702024076.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-03-10
2008-12-13,M20083422008348.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-12-07
2018-01-13,L20180072018013.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-01-07
2019-09-21,L20192582019264.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-09-15
2012-02-18,M20120432012049.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2012-02-12
2023-10-28,L20232952023301.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-10-22
2011-06-25,M20111702011176.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-06-19
2016-06-04,L20161502016156.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-05-29
2017-09-30,L20172672017273.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-09-24
2023-03-04,L20230572023063.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-02-26
2016-12-10,L20163392016345.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-12-04
2023-09-09,L20232462023252.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-09-03
2022-01-01,L20213602022001.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-12-26
2009-05-02,M20091162009122.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-04-26
2019-06-29,L20191742019180.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-06-23
2009-06-06,M20091512009157.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-05-31
2009-10-31,M20092982009304.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-10-25
2017-12-02,L20173302017336.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-11-26
2022-09-10,L20222472022253.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-09-04
2017-04-01,L20170852017091.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-03-26
2020-08-15,L20202222020228.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-08-09
2012-02-04,M20120292012035.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2012-01-29
2018-02-03,L20180282018034.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-01-28
2024-05-11,L20241262024132.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-05-05
2012-01-07,M20120012012007.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2012-01-01
2008-11-29,M20083282008334.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-11-23
2016-10-22,L20162902016296.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-10-16
2020-05-02,L20201172020123.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-04-26
2010-10-23,M20102902010296.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-10-17
2017-06-24,L20171692017175.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-06-18
2021-05-15,L20211292021135.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-05-09
2016-08-06,L20162132016219.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-07-31
2009-01-10,M20090042009010.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-01-04
2008-11-15,M20083142008320.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-11-09
2008-08-30,M20082372008243.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-08-24
2012-01-21,M20120152012021.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2012-01-15
2021-03-06,L20210592021065.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-02-28
2017-12-16,L20173442017350.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-12-10
2009-04-04,M20090882009094.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-03-29
2020-02-15,L20200402020046.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-02-09
2022-12-24,L20223522022358.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-12-18
2019-01-19,L20190132019019.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-01-13
