year,season,mean_ci_mean,mean_ci_std,median_ci_mean,std_ci_mean,min_ci_min,max_ci_max,mean_dn_mean,mean_dn_std,median_dn_mean,std_dn_mean,min_dn_min,max_dn_max
2021,3,0.0033111169442551066,0.001959615209842465,0.0025892165762946237,0.0029180240737751665,6.677707623479695e-05,0.050847710161519684,117.97966718014867,23.699961240451355,128.1153846153846,44.82347027777791,1,247
2021,4,0.0017736242149062145,0.0013966461143347672,0.0012743695243971525,0.001857073460185917,6.677707623479695e-05,0.03882678224095402,83.85672891374269,35.58794608714115,88.07692307692308,43.5292403276801,1,237
2022,1,0.0004760030925197844,0.00016953910031667745,0.0002978094112773078,0.0005001745139376413,6.677707623479695e-05,0.009295856266680787,56.04200636560506,10.728590062931065,54.38461538461539,33.724742388098576,1,184
2022,2,0.0007730557630391732,0.0006209979693165954,0.00046899353385938775,0.0010247223700869652,6.677707623479695e-05,0.02734320383481737,66.15594028889294,15.928374090384388,67.42307692307692,36.82924296103633,1,224
2022,3,0.006782038776888453,0.001508654915041616,0.005086349755604672,0.006808581110202976,6.677707623479695e-05,0.05977992970248461,144.18371540602362,9.95866333856112,157.92307692307693,54.118073370401355,1,253
2022,4,0.0026325296812734307,0.0018080462157985724,0.0011825368146231863,0.003618633967264957,6.677707623479695e-05,0.05977992970248461,91.07966361098116,32.2056785395311,93.23076923076923,50.10875832978433,1,253
2023,1,0.0003715122877375496,8.44723033359349e-05,0.00023343786282410515,0.00038429298910891955,6.677707623479695e-05,0.005568309930770164,49.2269548404741,5.8119715698942915,46.607142857142854,31.99110522695646,1,165
2023,2,0.0008195668922112558,0.0008830976934247111,0.0006139790241581805,0.0007884555465614621,6.677707623479695e-05,0.01824481230988928,66.17399202621621,24.662841957392047,66.96153846153847,35.37042915824232,1,209
2023,3,0.005534387988638855,0.0015960281880636478,0.004797996396090199,0.00418927052295475,6.677707623479695e-05,0.05366602146220756,144.7013924739477,15.550707483825983,155.07692307692307,44.842913044394926,1,249
2023,4,0.0016410822602402754,0.001035607422851574,0.0006138219668931737,0.002097978781576847,6.677707623479695e-05,0.019256058648191517,78.27798387140544,24.228865876029452,74.5,48.48333216732572,1,211
