year,month,mean_ci_mean,mean_ci_std,median_ci_mean,std_ci_mean,min_ci_min,max_ci_max,mean_dn_mean,mean_dn_std,median_dn_mean,std_dn_mean,min_dn_min,max_dn_max
2011,9,0.004856752637152785,0.002395722102931412,0.003748918836428046,0.004331173949500072,6.677707623479695e-05,0.058189067831025315,136.62189609497997,17.806385492931547,146.125,45.19728402148134,1,252
2011,10,0.006529322047919887,0.007047852979687864,0.004131265053188877,0.00682651618469122,6.677707623479695e-05,0.05977992970248461,118.68395533741935,50.156234774279085,121.7,50.81150766663312,1,253
2011,11,0.0012089314215577237,0.0008297371296989433,0.0006800826627467463,0.0011656849170072789,7.850754557821981e-05,0.007906884593269861,82.64957264957265,28.707685704295336,81.33333333333333,33.55074906019347,7,178
2011,12,0.00040730175231700876,0.00018132288160594359,0.0002780553037891282,0.00042943571491117717,6.677707623479695e-05,0.004865790431142645,52.030797101449274,9.740791595089732,52.5,31.013127602782475,1,160
2012,1,0.0007418982983652831,0.000575426129880836,0.0004244575112166628,0.0005966030409804082,8.065390511855354e-05,0.0029146566385597063,67.31845238095238,31.129182739771807,58.625,30.611783225892413,8,141
2012,2,0.00017473457901813177,0.00013444439980018545,0.00016092158311749004,5.268720233126413e-05,6.860273023526938e-05,0.000491431963214887,27.708333333333332,28.126481442465096,26.333333333333332,8.207337331638632,2,75
2012,3,0.0017507206873419378,0.0016082722582617763,0.0017569844756511503,0.0011161420777924854,0.00013106218378977397,0.0062026803395049835,97.11111111111113,43.596104990817366,99.0,22.875870297658242,26,169
2012,4,0.0005323648103684133,,0.0005401344694166582,0.0003405099439609051,0.0001421082855563661,0.001263145560429136,69.75,,78.5,25.718427245848453,29,110
2016,4,0.000775192963854857,,0.00040234166986622506,0.0010767953524033651,7.047829676137728e-05,0.004610259803284842,68.36111111111111,,67.5,40.16089362231884,3,158
2016,5,0.002814980203846267,0.0023924924962786137,0.0026051972820511204,0.002022183192427574,6.860273023526938e-05,0.01874361693655935,112.89808069227998,31.73649757795549,119.3,41.14478496929338,2,210
2016,6,0.011272166901122451,0.0007187307670461316,0.013236284679060054,0.005709746250594293,6.677707623479695e-05,0.02521781184235494,176.29548930020758,5.511536812615021,197.0,46.45401447656654,1,221
2016,7,0.006809243617589271,0.003173764491751493,0.005309527918494003,0.005402290025829367,6.677707623479695e-05,0.03045828176842181,148.42660306964478,20.219427249227518,154.8,45.87733018325021,1,228
2016,8,0.006501709324167114,0.0011352905224515345,0.004311515356714967,0.006350828416275714,6.677707623479695e-05,0.052237862751382015,139.7888574905231,17.733122000151017,150.25,57.135126784374904,1,248
2016,9,0.005252353605294129,0.0018073612916638154,0.0028306058367798675,0.0055396357711744205,6.677707623479695e-05,0.03302534780013992,125.70923965691253,17.189878188825507,133.0,60.002876117342865,1,231
